epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kpt_loss,train/shape_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kpt_loss,val/shape_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,2427.68,1.02967,0.42387,1.0161,0.01933,0.00038,0.89339,0.7275,0.80658,0.55701,1.12114,0.521,1.04818,0,0,0.027063,0.009021,0.027063,0.009021,0.027063,0.009021,0.027063,0.009021
91,2453.22,1.02997,0.42359,1.01712,0.01919,0.00036,0.8891,0.7141,0.80045,0.55233,1.13016,0.52424,1.05003,0,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
92,2479.06,1.02693,0.42087,1.0148,0.01889,0.00033,0.89213,0.72089,0.80223,0.55791,1.11001,0.52034,1.04518,0,0,0.026997,0.008999,0.026997,0.008999,0.026997,0.008999,0.026997,0.008999
93,2504.9,1.03099,0.42153,1.01431,0.01833,0.00028,0.88326,0.72769,0.80673,0.55591,1.13308,0.52509,1.05083,0,0,0.026964,0.008988,0.026964,0.008988,0.026964,0.008988,0.026964,0.008988
94,2531.04,1.02878,0.42218,1.01682,0.01799,0.00021,0.88436,0.73281,0.81173,0.561,1.11272,0.51464,1.04337,0,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
95,2556.72,1.02653,0.42122,1.01376,0.01761,0.00017,0.88311,0.73898,0.81448,0.56404,1.1075,0.50561,1.04387,0,0,0.026898,0.008966,0.026898,0.008966,0.026898,0.008966,0.026898,0.008966
96,2582.95,1.0243,0.41992,1.01479,0.01748,0.00017,0.87823,0.72843,0.80834,0.55676,1.1327,0.52329,1.05124,0,0,0.026865,0.008955,0.026865,0.008955,0.026865,0.008955,0.026865,0.008955
97,2608.66,1.02622,0.42161,1.01592,0.01728,0.00016,0.87151,0.72733,0.80395,0.55769,1.11241,0.52027,1.04409,0,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
98,2634.14,1.02806,0.41977,1.01647,0.01721,0.00016,0.88328,0.71843,0.80335,0.55855,1.11028,0.51876,1.04168,0,0,0.026799,0.008933,0.026799,0.008933,0.026799,0.008933,0.026799,0.008933
99,2660.05,1.02101,0.4183,1.01364,0.01716,0.00016,0.8829,0.72316,0.80478,0.55695,1.1203,0.51536,1.04686,0,0,0.026766,0.008922,0.026766,0.008922,0.026766,0.008922,0.026766,0.008922
100,2685.83,1.0236,0.41968,1.01603,0.01711,0.00016,0.88989,0.72599,0.80782,0.55853,1.12333,0.51668,1.04821,0,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
101,2711.67,1.02633,0.41986,1.0159,0.01712,0.00016,0.88255,0.73736,0.8144,0.56518,1.10351,0.50424,1.0417,0,0,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
102,2737.34,1.01941,0.41682,1.01389,0.01711,0.00016,0.89057,0.72849,0.80988,0.56294,1.11216,0.51037,1.0461,0,0,0.026667,0.008889,0.026667,0.008889,0.026667,0.008889,0.026667,0.008889
103,2763.83,1.01933,0.41811,1.01313,0.01717,0.00016,0.88348,0.73121,0.8075,0.56068,1.11473,0.51127,1.04677,0,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
104,2789.69,1.01649,0.41739,1.01221,0.01718,0.00016,0.87942,0.72553,0.80166,0.55709,1.12056,0.52101,1.04891,0,0,0.026601,0.008867,0.026601,0.008867,0.026601,0.008867,0.026601,0.008867
105,2815.49,1.01884,0.41685,1.01221,0.01688,0.00016,0.89238,0.72082,0.80184,0.5573,1.11307,0.52048,1.04657,0,0,0.026568,0.008856,0.026568,0.008856,0.026568,0.008856,0.026568,0.008856
106,2841.07,1.01571,0.4159,1.01266,0.01679,0.00016,0.89025,0.72541,0.80585,0.55966,1.11521,0.51918,1.04632,0,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
107,2866.7,1.01412,0.41508,1.01178,0.01654,0.00015,0.88759,0.71944,0.80255,0.5589,1.11278,0.52209,1.04532,0,0,0.026502,0.008834,0.026502,0.008834,0.026502,0.008834,0.026502,0.008834
108,2892.39,1.01913,0.41605,1.01192,0.01674,0.00016,0.88087,0.72362,0.80291,0.55683,1.12041,0.52001,1.04745,0,0,0.026469,0.008823,0.026469,0.008823,0.026469,0.008823,0.026469,0.008823
109,2917.9,1.01121,0.41418,1.01007,0.01665,0.00015,0.88124,0.71709,0.79689,0.55396,1.11462,0.5254,1.04629,0,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
110,2943.51,1.01266,0.4154,1.01267,0.01699,0.00016,0.88892,0.71002,0.79458,0.55282,1.1129,0.52616,1.04517,0,0,0.026403,0.008801,0.026403,0.008801,0.026403,0.008801,0.026403,0.008801
111,2969.71,1.00977,0.41395,1.01183,0.01669,0.00015,0.89248,0.7059,0.79411,0.55196,1.11626,0.52874,1.04732,0,0,0.02637,0.00879,0.02637,0.00879,0.02637,0.00879,0.02637,0.00879
112,2994.99,1.00885,0.41289,1.00968,0.0165,0.00015,0.88421,0.71406,0.79463,0.55343,1.11089,0.52484,1.04722,0,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
